SNo,Review_ID,Review_Title,Review_Text,Rating,Date_Time,Reviewer_Name,Location,Product_Name,Category,Verified_Purchase,Site,Source_File
21,FK_20251011_142019_4,Highly recommended,Nice design with awesome features..Loving it😍😍READ MORE,5.0,"Oct, 2022",Rajeev Kumar,Arsh Deep,"Apple Watch Series 8, 41mm GPS + Cellular ECG app, Temperature sensor, Crash Detection  (Midnight St",,Yes,Flipkart,114.csv
22,FK_20251011_141956_13,Wonderful,Perfect watch for daily with premium look!READ MORE,5.0,,Rajan Bhattacharjee,7 months ago,"Noise Pro 6 1.85'' Amoled Dispay with A Watch Faces & AI Companion Smartwatch  (Ice Blue Strap, Regu",,Yes,Flipkart,114.csv
23,FK_20251011_141956_12,Must buy!,Very good watchREAD MORE,5.0,,Imamul Hak,6 months ago,"Noise Pro 6 1.85'' Amoled Dispay with A Watch Faces & AI Companion Smartwatch  (Ice Blue Strap, Regu",,Yes,Flipkart,114.csv
24,FK_20251011_141956_11,Must buy!,Very good product 👍READ MORE,5.0,,Rajat Tarei,5 months ago,"Noise Pro 6 1.85'' Amoled Dispay with A Watch Faces & AI Companion Smartwatch  (Ice Blue Strap, Regu",,Yes,Flipkart,114.csv
25,FK_20251011_141956_10,Terrific,Very good productREAD MORE,5.0,,Sonam Singh,5 months ago,"Noise Pro 6 1.85'' Amoled Dispay with A Watch Faces & AI Companion Smartwatch  (Ice Blue Strap, Regu",,Yes,Flipkart,114.csv
26,FK_20251011_141956_9,Just wow!,It feel as a luxury watchREAD MORE,5.0,,Flipkart Customer,4 months ago,"Noise Pro 6 1.85'' Amoled Dispay with A Watch Faces & AI Companion Smartwatch  (Ice Blue Strap, Regu",,Yes,Flipkart,114.csv
27,FK_20251011_141956_8,Super!,Great watchREAD MORE,5.0,,Sumanta Adhikary,8 months ago,"Noise Pro 6 1.85'' Amoled Dispay with A Watch Faces & AI Companion Smartwatch  (Ice Blue Strap, Regu",,Yes,Flipkart,114.csv
28,FK_20251011_141956_7,Terrific purchase,Wathch is good but strap is off too much bad material please make it well otherwise it's wort buying gadgetREAD MORE,5.0,,Sahil Kurali,4 months ago,"Noise Pro 6 1.85'' Amoled Dispay with A Watch Faces & AI Companion Smartwatch  (Ice Blue Strap, Regu",,Yes,Flipkart,114.csv
29,FK_20251011_141956_6,Mind-blowing purchase,Arcetic wave. A very good product from noise. Just go for it.READ MORE,5.0,,Sayak Dutta,7 months ago,"Noise Pro 6 1.85'' Amoled Dispay with A Watch Faces & AI Companion Smartwatch  (Ice Blue Strap, Regu",,Yes,Flipkart,114.csv
30,FK_20251011_141956_5,Perfect product!,Premium watch in this price range. Noise Fit App support is very bad.But watch is very goodREAD MORE,5.0,,Irfan Pathan,8 months ago,"Noise Pro 6 1.85'' Amoled Dispay with A Watch Faces & AI Companion Smartwatch  (Ice Blue Strap, Regu",,Yes,Flipkart,114.csv
31,FK_20251011_135342_9,Must buy!,Very nice 🙂👍READ MORE,5.0,"Sep, 2022",BEGADA Naveen Kumar,,"HP 330 Mouse & Keyboard Combo Wireless Standard Desktop Keyboard Compatible with Desktop, Laptop, Ma",,Yes,Flipkart,70.csv
32,FK_20251011_135342_6,Highly recommended,Excellent resultREAD MORE,5.0,"Oct, 2022",SUNIL KUMAR,,"HP 330 Mouse & Keyboard Combo Wireless Standard Desktop Keyboard Compatible with Desktop, Laptop, Ma",,Yes,Flipkart,70.csv
33,FK_20251011_135342_5,Terrific,A good external chiclet keyboardREAD MORE,5.0,"Sep, 2022",Armin Phulkar,,"HP 330 Mouse & Keyboard Combo Wireless Standard Desktop Keyboard Compatible with Desktop, Laptop, Ma",,Yes,Flipkart,70.csv
34,FK_20251011_135342_4,Terrific,A good external chiclet keyboardREAD MORE,5.0,"Aug, 2022",Armin Phulkar,Snehal Kesarkar,"HP 330 Mouse & Keyboard Combo Wireless Standard Desktop Keyboard Compatible with Desktop, Laptop, Ma",,Yes,Flipkart,70.csv
35,FK_20251011_135318_12,Best in the market!,I like itREAD MORE,5.0,"Jun, 2024",jitendra kumar,,"Portronics Bubble Dock Bluetooth, Wireless Handheld Multi-device Keyboard Compatible with Desktop, L",,Yes,Flipkart,70.csv
36,FK_20251011_135318_11,Excellent,"Amazing productIt should have some weight, because the tablet is tilting on one side when kept in that groove.Rest the product is amazing and amazing built qualityREAD MORE",5.0,"Aug, 2024",Flipkart Customer,,"Portronics Bubble Dock Bluetooth, Wireless Handheld Multi-device Keyboard Compatible with Desktop, L",,Yes,Flipkart,70.csv
37,FK_20251011_135318_8,Must buy!,"Very useful keyboard to type on Android phone and iPad 9 as well as pc... When delivered i was not able to connect Bluetooth to mobile. So I asked for return, but as paired device limit of mobile was reached it was unable to pair.. as I removed some paired device then this keyboard connected quickly... Liked the product... Bought for 900.READ MORE",5.0,"Jul, 2024",shardul kadam,,"Portronics Bubble Dock Bluetooth, Wireless Handheld Multi-device Keyboard Compatible with Desktop, L",,Yes,Flipkart,70.csv
38,FK_20251011_142043_6,Super!,"Loved the product.I had used all other brands like realme, noise, nothing but this watch gives me unique feel.First of all its Titan Brand and along with it it's display size is perfect not too small not too big.The features are working good and accurate. And also it's battery life is more than 1 week even with calling function ON.READ MORE",5.0,,Sagar Patel,8 months ago,Titan Crest-1.43''|Premium Design|AMOLED|AOD|Working Crown|BT Calling|Fast Charge|IP68 Smartwatch  (,,Yes,Flipkart,114.csv
39,FK_20251011_142043_5,Great product,Very Very nice picREAD MORE,5.0,"Oct, 2024",Flipkart Customer,,Titan Crest-1.43''|Premium Design|AMOLED|AOD|Working Crown|BT Calling|Fast Charge|IP68 Smartwatch  (,,Yes,Flipkart,114.csv
40,FK_20251011_142043_4,Great product,Very Very nice picREAD MORE,5.0,"Oct, 2024",Flipkart Customer,6 months ago,Titan Crest-1.43''|Premium Design|AMOLED|AOD|Working Crown|BT Calling|Fast Charge|IP68 Smartwatch  (,,Yes,Flipkart,114.csv
41,FK_20251011_142019_14,Classy product,best in class ultimate go for cellular alwaysREAD MORE,5.0,"Oct, 2022",Arsh Deep,,"Apple Watch Series 8, 41mm GPS + Cellular ECG app, Temperature sensor, Crash Detection  (Midnight St",,Yes,Flipkart,114.csv
42,FK_20251011_142019_13,Great product,Very goodREAD MORE,5.0,"May, 2023",abin joy,,"Apple Watch Series 8, 41mm GPS + Cellular ECG app, Temperature sensor, Crash Detection  (Midnight St",,Yes,Flipkart,114.csv
43,FK_20251011_142019_12,Wonderful,"This device is very purposefully developed and I have a purpose to fulfill. I always wanted to have a device that will let me connected to today's world but at the same time I don't want to get distracted by unnecessary things. And in my opinion, there is no better device than this for this purpose. My screen is dramatically reduced by 35% in just 7days. I hope it will help me a lot in the coming days.READ MORE",5.0,"Oct, 2023",Aniruddha Pandey,,"Apple Watch Series 8, 41mm GPS + Cellular ECG app, Temperature sensor, Crash Detection  (Midnight St",,Yes,Flipkart,114.csv
44,FK_20251011_142019_11,Super!,This watch is value for money. Flipkart has given a very good offer. Thank you FilpkartREAD MORE,5.0,"Oct, 2023",Mohammed  Khadeer,,"Apple Watch Series 8, 41mm GPS + Cellular ECG app, Temperature sensor, Crash Detection  (Midnight St",,Yes,Flipkart,114.csv
45,FK_20251011_142019_10,Just wow!,Watch with Class.Baap of all Smartwatch.READ MORE,5.0,"Jun, 2023",Puneet Garg,,"Apple Watch Series 8, 41mm GPS + Cellular ECG app, Temperature sensor, Crash Detection  (Midnight St",,Yes,Flipkart,114.csv
46,FK_20251011_142019_9,Great product,Superb ProductREAD MORE,5.0,"Oct, 2023",Vikash Rajput,,"Apple Watch Series 8, 41mm GPS + Cellular ECG app, Temperature sensor, Crash Detection  (Midnight St",,Yes,Flipkart,114.csv
47,FK_20251011_142019_8,Fabulous!,Value for 💰READ MORE,5.0,"Jun, 2023",Shopping Lover,,"Apple Watch Series 8, 41mm GPS + Cellular ECG app, Temperature sensor, Crash Detection  (Midnight St",,Yes,Flipkart,114.csv
48,FK_20251011_142019_7,Great product,"Nice watch, I have never experienced this type of watch. Display is good, strap quality is also good excellent performance. Over all it was a great product from AppleREAD MORE",5.0,"Jan, 2023",Palla Kranti Kumar,,"Apple Watch Series 8, 41mm GPS + Cellular ECG app, Temperature sensor, Crash Detection  (Midnight St",,Yes,Flipkart,114.csv
49,FK_20251011_135252_14,Awesome,very very good product.... thanks to flipkartREAD MORE,5.0,"Jun, 2019",Keshav  Mishra,,"HP wireless keyboard & mouse combo Wireless Standard Laptop Keyboard Compatible with Desktop, Laptop",,Yes,Flipkart,70.csv
50,FK_20251011_135252_12,Perfect product!,Iam very much satisfiedVery smooth and fast response and easy to connectGiven a off/on button for mouseIf it also present for key board it will be Very useful but not providedAny how 2 items are atomatically going to stand by mode if we not used for a whileREAD MORE,5.0,"Nov, 2020",Saiuday Bandaru,,"HP wireless keyboard & mouse combo Wireless Standard Laptop Keyboard Compatible with Desktop, Laptop",,Yes,Flipkart,70.csv
51,FK_20251011_135252_9,Best in the market!,very good product and very soft keyboard and and mouse very nice I am happyREAD MORE,5.0,"Oct, 2019",MANOJ KUMAR  GOPE,,"HP wireless keyboard & mouse combo Wireless Standard Laptop Keyboard Compatible with Desktop, Laptop",,Yes,Flipkart,70.csv
52,FK_20251011_135252_7,Super!,Awesome product very good looking very smooth mouse and stylish keyboard.❤️READ MORE,5.0,"Feb, 2020",Gurjeet Singh,,"HP wireless keyboard & mouse combo Wireless Standard Laptop Keyboard Compatible with Desktop, Laptop",,Yes,Flipkart,70.csv
53,FK_20251011_135252_6,Worth every penny,awesome productREAD MORE,5.0,"Nov, 2019",Deepak Patel,,"HP wireless keyboard & mouse combo Wireless Standard Laptop Keyboard Compatible with Desktop, Laptop",,Yes,Flipkart,70.csv
